date,close,volume,open,high,low
12/30/16,213.69,4641288,216.3,217.5,211.68
12/29/16,214.68,4043086,218.56,219.2,214.1225
12/28/16,219.74,3778544,221.53,223.8,217.2
12/27/16,219.53,5913335,214.88,222.25,214.42
12/23/16,213.34,4668263,208,213.45,207.71
12/22/16,208.45,3108427,208.22,209.99,206.5
12/21/16,207.7,5206143,208.45,212.23,207.41
12/20/16,208.79,4684269,203.05,209,202.5
12/19/16,202.73,3486937,202.49,204.45,199.84
12/16/16,202.49,3795444,198.08,202.59,197.6
12/15/16,197.58,3218653,198.41,200.74,197.39
12/14/16,198.69,4147314,198.74,203,196.76
12/13/16,198.15,6819322,193.18,201.28,193
12/12/16,192.43,2436428,192.8,194.42,191.04
12/9/16,192.18,2720937,190.87,193.836,190.81
12/8/16,192.29,3193684,192.05,192.5,189.54
12/7/16,193.15,5457071,186.15,193.4,185
12/6/16,185.85,3389365,185.52,186.58,182.6825
12/5/16,186.8,4069480,182.51,188.89,182.51
12/2/16,181.47,4040201,182.88,184.88,180
12/1/16,181.88,5119105,188.25,188.53,181
11/30/16,189.4,3544891,191,191.89,187.5
11/29/16,189.57,4435312,195.56,196.73,189.5
11/28/16,196.12,4521082,195.48,199.35,194.55
11/25/16,196.65,2366098,193.64,197.2372,193.64
11/23/16,193.14,4890285,190.61,195.644,189
11/22/16,191.17,5601238,185.84,191.47,183.71
11/21/16,184.52,4355872,185.04,188.89,184.41
11/18/16,185.02,5206473,190.65,193,185
11/17/16,188.66,4880969,183.49,189.49,182.1101
11/16/16,183.93,3432668,182.65,184.73,181.21
11/15/16,183.77,3899743,182.78,186.43,182.05
11/14/16,181.45,6547913,188,188.25,178.19
11/11/16,188.56,3987091,184.24,188.88,183
11/10/16,185.35,6746290,191.05,191.61,180.42
11/9/16,190.06,8166447,186.875,192,183.95
11/8/16,194.94,3252927,193.79,197.49,191.26
11/7/16,193.21,3857682,193.59,194.29,190.05
11/4/16,190.56,5143915,189,193.46,185.96
11/3/16,187.42,2644550,189,191.47,187.0401
11/2/16,188.02,4242250,190.05,192.6951,187.505
11/1/16,190.79,7023674,198.04,198.5,188.105
10/31/16,197.73,4691320,202.49,202.49,195.81
10/28/16,199.97,4273456,204,205.32,199.83
10/27/16,204.01,13070990,211.34,213.7,201.65
10/26/16,202.24,5346893,201,203.19,200.1
10/25/16,202.34,2442118,202.9,204.69,201.2
10/24/16,202.76,2747344,201,203.9452,200.25
10/21/16,200.09,2936908,198.6,201.57,197.41
10/20/16,199.1,5069410,202.12,203,197.05
10/19/16,203.56,6966185,199.74,206.66,198.06
10/18/16,199.1,5676046,195.99,199.47,193.26
10/17/16,193.96,4518331,197.05,198.39,192
10/14/16,196.51,4265471,200.66,201.43,196.3
10/13/16,200.24,2495140,200.5,200.895,197.05
10/12/16,201.51,1969099,200.95,203.88,200.42
10/11/16,200.1,2326754,201.85,202.2,198.31
10/10/16,200.95,3311340,201.35,204.14,199.66
10/7/16,196.61,3489480,201,201.32,195.8
10/6/16,201,4697937,202.46,204.2099,200.21
10/5/16,208.46,1872456,212.24,213.15,208.12
10/4/16,211.41,3537953,213.1,213.32,208.82
10/3/16,213.7,5989342,212.3,215.6688,208.25
9/30/16,204.03,2581730,202.21,204.98,199.55
